
 Shear/q and Bending Moment/q vs Y
  Configuration: AeroCats_2014                                               
   -1.0000  0.756657E-02    -0.244355E-03
   -1.0000  0.686475E-02    -0.196458E-03
   -1.0000  0.607976E-02    -0.153535E-03
   -1.0000  0.525556E-02    -0.116235E-03
   -1.0000  0.444152E-02    -0.854608E-04
   -1.0000  0.366749E-02    -0.608347E-04
   -1.0000  0.295437E-02    -0.417538E-04
   -1.0000  0.231577E-02    -0.274804E-04
   -1.0000  0.175940E-02    -0.172169E-04
   -1.0000  0.128834E-02    -0.101670E-04
   -1.0000  0.901935E-03    -0.558159E-05
   -1.0000  0.596533E-03    -0.279294E-05
   -1.0000  0.366035E-03    -0.123647E-05
   -1.0000  0.202319E-03    -0.461792E-06
   -1.0000  0.955893E-04    -0.133903E-06
   -1.0000  0.346754E-04    -0.255917E-07
   -1.0000  0.731568E-05    -0.219519E-08
   -1.0000  0.431670E-06    -0.302046E-10
   -1.0000   0.00000          0.00000    
   
 Surface:   7  
Vertical Tail                           
     2Ymin/Bref =   0.0000000E+00
     2Ymax/Bref =   0.0000000E+00
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.176591E-08    -0.603832E-10
    0.0000  0.132704E-08    -0.660890E-10
    0.0000  0.422636E-09    -0.725444E-10
    0.0000 -0.433296E-09    -0.725054E-10
    0.0000 -0.111435E-08    -0.669360E-10
    0.0000 -0.153596E-08    -0.576076E-10
    0.0000 -0.170161E-08    -0.465377E-10
    0.0000 -0.169080E-08    -0.353512E-10
    0.0000 -0.155702E-08    -0.251026E-10
    0.0000 -0.133461E-08    -0.164448E-10
    0.0000 -0.105582E-08    -0.971769E-11
    0.0000 -0.740375E-09    -0.501718E-11
    0.0000 -0.443552E-09    -0.217156E-11
    0.0000 -0.229960E-09    -0.706448E-12
    0.0000 -0.958420E-10    -0.764396E-13
    0.0000 -0.148928E-10     0.109614E-12
    0.0000  0.223201E-10     0.990951E-13
    0.0000  0.247543E-10     0.452588E-13
    0.0000  0.140859E-10     0.117025E-13
    0.0000  0.397157E-11     0.124820E-14
    0.0000  0.261594E-12     0.190188E-16
    0.0000   0.00000          0.00000    
   
 Surface:   8  
Vertical Tail 2                         
     2Ymin/Bref =   0.4415094    
     2Ymax/Bref =   0.4415094    
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.4415  0.292583E-02     0.195680E-03
    0.4415  0.290444E-02     0.182773E-03
    0.4415  0.284126E-02     0.157335E-03
    0.4415  0.273818E-02     0.132861E-03
    0.4415  0.259706E-02     0.109822E-03
    0.4415  0.242073E-02     0.886280E-04
    0.4415  0.221277E-02     0.696166E-04
    0.4415  0.197813E-02     0.530330E-04
    0.4415  0.172385E-02     0.390150E-04
    0.4415  0.145919E-02     0.275786E-04
    0.4415  0.119480E-02     0.186160E-04
    0.4415  0.941671E-03     0.119068E-04
    0.4415  0.709895E-03     0.714329E-05
    0.4415  0.507644E-03     0.396502E-05
    0.4415  0.340377E-03     0.199722E-05
    0.4415  0.210345E-03     0.886855E-06
    0.4415  0.116513E-03     0.331350E-06
    0.4415  0.549991E-04     0.959719E-07
    0.4415  0.199086E-04     0.183114E-07
    0.4415  0.419153E-05     0.156812E-08
    0.4415  0.246981E-06     0.215481E-10
    0.4415   0.00000          0.00000    
   
 Surface:   9  
Vertical Tail 2 (YDUP)                  
     2Ymin/Bref =  -0.4415094    
     2Ymax/Bref =  -0.4415094    
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.4415  0.292588E-02    -0.195683E-03
   -0.4415  0.290449E-02    -0.182776E-03
   -0.4415  0.284130E-02    -0.157338E-03
   -0.4415  0.273822E-02    -0.132864E-03
   -0.4415  0.259710E-02    -0.109824E-03
   -0.4415  0.242078E-02    -0.886295E-04
   -0.4415  0.221281E-02    -0.696178E-04
   -0.4415  0.197816E-02    -0.530340E-04
   -0.4415  0.172388E-02    -0.390157E-04
   -0.4415  0.145921E-02    -0.275791E-04
   -0.4415  0.119482E-02    -0.186164E-04
   -0.4415  0.941689E-03    -0.119070E-04
   -0.4415  0.709908E-03    -0.714342E-05
   -0.4415  0.507653E-03    -0.396510E-05
   -0.4415  0.340383E-03    -0.199726E-05
   -0.4415  0.210349E-03    -0.886872E-06
   -0.4415  0.116515E-03    -0.331356E-06
   -0.4415  0.550002E-04    -0.959737E-07
   -0.4415  0.199089E-04    -0.183117E-07
   -0.4415  0.419161E-05    -0.156814E-08
   -0.4415  0.246985E-06    -0.215485E-10
   -0.4415   0.00000          0.00000    
